name,Phone,Business.Description,address,website,latitude,longitude
Abbotts Frozen Custard,(336) 448-5984,Ice Cream Parlors,6312 Clemmons Point Dr Clemmons NC 27012,https://www.abbottscustard.com,36.03730091,-80.38734034
Abbotts Frozen Custard,704-949-0117,Ice Cream Parlors,"10070 Edison Square Drive NW, Concord, NC 28027",https://www.abbottscustard.com,35.401178,-80.75947
Abbotts Frozen Custard,803-548-2858,Ice Cream Parlors,"1157 Stonecrest Blvd Tega Cay,  SC 29708",https://www.abbottscustard.com,35.048075,-80.994502
Andia's Homemade Ice Cream,(919) 822-1866,Ice Cream Parlors,10120 Green Level Church Rd Cary NC 27519,https://www.andiasicecream.com,35.7862909,-78.9036016
Andia's Homemade Ice Cream,(919) 234-0037,Ice Cream Parlors,1008 Ryan Rd Cary NC 27511,https://www.andiasicecream.com,35.7772908,-78.7678612
Andias Homemade Ice Cream,(919) 601-8560,Ice Cream Parlors,10207 Chapel Hill Rd # C Morrisville NC 27560,https://www.andiasicecream.com,35.82714376,-78.82669279
Andy's Frozen Custard,(980) 262-3004,Ice Cream Parlors,2210 Matthews Township Pkwy Matthews NC 28105,https://www.eatandys.com,35.12716061,-80.70314112
Andy's Frozen Custard,(919) 867-5212,Ice Cream Parlors,3002 Leland Dr Raleigh NC 27616,https://www.eatandys.com,35.8937438,-78.51179352
Andy's Frozen Custard,(336) 639-7024,Ice Cream Parlors,408 Huffman Mill Rd Burlington NC 27215,https://www.eatandys.com,36.0755938,-79.4888297
Andy's Frozen Custard,(704) 849-0073,Ice Cream Parlors,9921 Rea Rd Waxhaw NC 28173,https://www.eatandys.com,35.01651081,-80.80328445
Andy's Frozen Custard,(704) 549-9687,Ice Cream Parlors,8835 Christenbury Pkwy Concord NC 28027,https://www.eatandys.com,35.3751348,-80.73152366
Andy's Frozen Custard,(336) 803-4148,Ice Cream Parlors,2406 Penny Rd High Point NC 27265,https://www.eatandys.com,36.03570339,-79.9663561
Andy's Frozen Custard,(704) 997-8165,Ice Cream Parlors,17055 Nat Bynum Ln Cornelius NC 28031,https://www.eatandys.com,35.482588,35.482588
Andy's Frozen Custard,(919) 650-2865,Ice Cream Parlors,1115 Hatches Pond Ln Morrisville NC 27560,https://www.eatandys.com,35.8261286,-78.8491879
Artesana Ice Cream,(828) 559-2023,Ice Cream Parlors,76 S Main St Marion NC 28752,https://www.artesanaicecream.com,35.68318294,-82.00862116
Artisen Gelato LLC,(704) 000-1111,Ice Cream Parlors,110 S Ames St Matthews NC 28105,https://www.artisengelato.com,35.11741183,-80.72515838
Bada Bing Original Italian Ice,(336) 413-5882,Ice Cream Parlors,484 New River Inlet Rd N Topsail Beach NC 28460,www.badabingitalianice.com,34.49653528,-77.41174812
Baskin-Robbins,(910) 900-5486,Ice Cream Parlors,9566 Cliffdale Rd Fayetteville NC 28304,https://www.baskinrobbins.com,35.02988745,-79.06217584
Baskin-Robbins,(910) 252-9476,Ice Cream Parlors,3411 Ramsey St Fayetteville NC 28311,https://www.baskinrobbins.com,35.10554231,-78.878587
Baskin-Robbins,(910) 864-3131,Ice Cream Parlors,1850 Skibo Rd Fayetteville NC 28303,https://www.baskinrobbins.com,35.0720374,-78.96523211
Baskin-Robbins,(984) 344-4276,Ice Cream Parlors,7137 Knightdale Blvd Knightdale NC 27545,https://www.baskinrobbins.com,35.79839711,-78.48924882
Baskin-Robbins,(984) 344-4317,Ice Cream Parlors,5265 Six Forks Rd Raleigh NC 27609,https://www.baskinrobbins.com,35.85304978,-78.64270867
Baskin-Robbins,(919) 303-4334,Ice Cream Parlors,2740 Nc 55 Hwy # 100 Cary NC 27519,https://www.baskinrobbins.com,35.7844645,-78.87120127
Baskin-Robbins,(910) 939-5257,Ice Cream Parlors,433A Western Blvd Jacksonville NC 28546,https://www.baskinrobbins.com,34.76846952,-77.38525012
Baskin-Robbins,(910) 984-2026,Ice Cream Parlors,1490 Nc 24-87 # 1 Cameron NC 28326,https://www.baskinrobbins.com,35.25710087,-79.03865189
Baskin-Robbins,(704) 986-4608,Ice Cream Parlors,716 Nc 24 27 Byp E Albemarle NC 28001,https://www.baskinrobbins.com,35.33859725,-80.20455582
Baskin-Robbins,(919) 521-4960,Ice Cream Parlors,8401 Capital Blvd Raleigh NC 27616,https://www.baskinrobbins.com,35.89327351,-78.55961891
Baskin-Robbins,(704) 583-0411,Ice Cream Parlors,9033 S Tryon St Charlotte NC 28273,https://www.baskinrobbins.com,35.13521643,-80.93867636
Baskin-Robbins,(252) 247-4888,Ice Cream Parlors,2908 Arendell St Morehead City NC 28557,https://www.baskinrobbins.com,34.72383645,-76.74265234
Baskin-Robbins,(704) 394-2828,Ice Cream Parlors,5029 Beatties Ford Rd Charlotte NC 28216,https://www.baskinrobbins.com,35.3039689,-80.85756815
Baskin-Robbins,(984) 344-4330,Ice Cream Parlors,3570 Davis Dr Morrisville NC 27560,https://www.baskinrobbins.com,35.81864648,-78.84763088
Baskin-Robbins,(704) 869-4522,Ice Cream Parlors,2302 S New Hope Rd Gastonia NC 28054,https://www.baskinrobbins.com,35.24235139,-81.12709351
Baskin-Robbins,(704) 331-2940,Ice Cream Parlors,701 S Kings Dr Charlotte NC 28204,https://www.baskinrobbins.com,35.20897842,-80.83586551
Baskin-Robbins,(704) 542-2998,Ice Cream Parlors,16131 Lancaster Hwy Charlotte NC 28277,https://www.baskinrobbins.com,35.03618993,-80.85742284
Baskin-Robbins,(919) 309-0000,Ice Cream Parlors,2608 Erwin Rd # 156 Durham NC 27705,https://www.baskinrobbins.com,36.00873728,-78.9443576
Baskin-Robbins,(252) 321-7407,Ice Cream Parlors,1885 E Fire Tower Rd # 100 Greenville NC 27858,https://www.baskinrobbins.com,35.56583214,-77.35630889
Baskin-Robbins,(336) 422-7247,Ice Cream Parlors,7815 N Point Blvd Winston Salem NC 27106,https://www.baskinrobbins.com,36.15078514,-80.27797931
Baskin-Robbins,(919) 577-1150,Ice Cream Parlors,1450 N Main St Fuquay Varina NC 27526,https://www.baskinrobbins.com,35.59328963,-78.77099828
Baskin-Robbins,(336) 784-0266,Ice Cream Parlors,2561 Peters Creek Pkwy Winston Salem NC 27127,https://www.baskinrobbins.com,36.06242352,-80.2584411
Baskin-Robbins,(910) 791-7192,Ice Cream Parlors,3809 Oleander Dr Wilmington NC 28403,https://www.baskinrobbins.com,34.21475917,-77.90120743
Baskin-Robbins,(919) 875-9092,Ice Cream Parlors,2727 Capital Blvd Raleigh NC 27604,https://www.baskinrobbins.com,35.81637287,-78.60174495
Baskin-Robbins,(910) 451-2599,Ice Cream Parlors,1238 Birch St Camp Lejeune NC 28547,https://www.baskinrobbins.com,34.6735475,-77.3376051
Baskin-Robbins,(704) 542-4667,Ice Cream Parlors,8334 Matthews-Pineville Rd # 101 Charlotte NC 28226,https://www.baskinrobbins.com,35.0879913,-80.8607317
Baskin-Robbins,(704) 882-3858,Ice Cream Parlors,14055 E Independence Blvd Indian Trail NC 28079,https://www.baskinrobbins.com,35.0774292,-80.65285
Beachbunnyicecream,(910) 262-2335,Ice Cream Parlors,227 Bagley Ave Wilmington NC 28409,https://www.beachbunnyicecream.com,34.20840075,-77.83991115
Ben & Jerry's,(704) 333-1003,Ice Cream Parlors,507 Providence Rd # 100 Charlotte NC 28207,www.benjerry.com,35.20342874,-80.82458039
Ben & Jerry's,(919) 967-9068,Ice Cream Parlors,102 W Franklin St Chapel Hill NC 27516,www.benjerry.com,35.91313493,-79.05598307
Ben & Jerry's,(828) 865-1222,Ice Cream Parlors,671 W King St Boone NC 28607,www.benjerry.com,36.21885664,-81.68430332
Ben & Jerry's,(828) 424-7153,Ice Cream Parlors,19 Haywood St Asheville NC 28801,www.benjerry.com,35.59524989,-82.55433294
Ben & Jerry's,(336) 856-2178,Ice Cream Parlors,3332 W Friendly Ave Greensboro NC 27410,www.benjerry.com,36.08496505,-79.8363008
Ben & Jerry's,(704) 364-7600,Ice Cream Parlors,7800 Fairview Rd Charlotte NC 28226,www.benjerry.com,35.14750433,-80.80977518
Ben & Jerry's,(252) 354-8448,Ice Cream Parlors,8204 Emerald Dr # 2 Emerald Isle NC 28594,www.benjerry.com,34.66486605,-77.03506072
Ben & Jerry's,(919) 807-0707,Ice Cream Parlors,3801 Hillsborough St # 141 Raleigh NC 27607,www.benjerry.com,35.79413691,-78.68784625
Ben & Jerry's,(704) 892-0604,Ice Cream Parlors,202 S Main St Davidson NC 28036,www.benjerry.com,35.4979349,-80.84919401
Ben & Jerry's,(919) 781-4677,Ice Cream Parlors,4160 Main Street Raleigh NC 27609,www.benjerry.com,35.8369683,-78.6427485
Big Bucks Homemade Ice Cream,(252) 423-3118,Ice Cream Parlors,207 Queen Elizabeth Ave Manteo NC 27954,https://www.bigbucksicecream.com,35.90908249,-75.66908816
Big Bucks Ice Cream,(252) 453-3188,Ice Cream Parlors,207 Queen Elizabeth Ave Manteo NC 27954,https://www.bigbucksicecream.com,35.90908249,-75.66908816
Blue Deer On King,(828) 832-8010,Ice Cream Parlors,352 W King St Boone NC 28607,https://www.bluedeercookies.com,36.21686324,-81.67914525
Blvd Ice Cream,(252) 429-7515,Ice Cream Parlors,1 Ocean Blvd # 107 Southern Shores NC 27949,https://www.blvdicecream.com,36.10315169,-75.71359591
Bold Batch Creamery,(828) 000-1111,Ice Cream Parlors,2161 S Wilmington St Raleigh NC 27603,https://www.boldbatchcreamery.com,35.75240829,-78.64199506
Brain Freeze Fun,(828) 200-1996,Ice Cream Parlors,320 Siler Rd Franklin NC 28734,https://www.brainfreezefun.com,35.1649272,-83.3854484
Brewers Italian Ice LLC,(919) 000-1111,Ice Cream Parlors,3201 Edwards Mill Rd # 141-433 Raleigh NC 27612,https://www.brewersitalianice.com,35.82499253,-78.70596985
Brick City Boba,(919) 292-1748,Ice Cream Parlors,104 E Main St Sanford NC 27332,https://www.brickcityboba.com,35.45755814,-79.15042316
Bruster's Real Ice Cream,(704) 708-6763,Ice Cream Parlors,545 W John St Matthews NC 28105,https://www.brusters.com,35.11998101,-80.72780313
Bruster's Real Ice Cream,(919) 844-1120,Ice Cream Parlors,10450 Durant Rd # 100 Raleigh NC 27614,https://www.brusters.com,35.90448381,-78.58766091
Bruster's Real Ice Cream,(704) 218-2111,Ice Cream Parlors,2166 Commerce Dr Monroe NC 28110,https://www.brusters.com,35.00427897,-80.56255541
Bruster's Real Ice Cream,(704) 799-9898,Ice Cream Parlors,252 Williamson Rd Mooresville NC 28117,https://www.brusters.com,35.58482352,-80.87392941
Bruster's Real Ice Cream,(704) 234-8399,Ice Cream Parlors,531 Indian Trail Rd S Indian Trail NC 28079,https://www.brusters.com,35.06969183,-80.67677577
Bruster's Real Ice Cream,(704) 896-2886,Ice Cream Parlors,17029 Kenton Dr Cornelius NC 28031,https://www.brusters.com,35.4477649,-80.89116716
Bruster's Real Ice Cream,(919) 234-0026,Ice Cream Parlors,952 US 64 Hwy W # 12 Apex NC 27523,https://www.brusters.com,35.74442838,-78.82439807
Bruster's Real Ice Cream,(919) 237-3537,Ice Cream Parlors,8200 Renaissance Pkwy # 1002 Durham NC 27713,https://www.brusters.com,35.90105947,-78.95887846
Bruster's Real Ice Cream,(910) 794-1222,Ice Cream Parlors,4414 S 17th St Wilmington NC 28412,https://www.brusters.com,34.175266,-77.893314
Cafe49 Halal Pizzeria,(704) 499-4525,Ice Cream Parlors,10221 University City Blvd Charlotte NC 28213,https://www.cafe49.us,35.31057513,-80.71467988
Carolina Scoops Ice Cream,(704) 889-0346,Ice Cream Parlors,105 Dover St Pineville NC 28134,https://www.carolinascoops.com,35.08571289,-80.89122272
Cj's Italian Ice & Cream,(704) 699-5825,Ice Cream Parlors,221 Kluttz Ct SW Concord NC 28025,https://www.cjscream.com,35.40135442,-80.58380901
Cold Stone Creamery,(919) 650-1737,Ice Cream Parlors,258 Grande Heights Dr Cary NC 27513,https://www.coldstonecreamery.com,35.80459179,-78.78042145
Cold Stone Creamery,(919) 500-3972,Ice Cream Parlors,1040 Forestville Rd # 156-A10 Wake Forest NC 27587,https://www.coldstonecreamery.com,35.94417472,-78.50704035
Cold Stone Creamery,(910) 674-4041,Ice Cream Parlors,140 Wintergreen Dr Lumberton NC 28358,https://www.coldstonecreamery.com,34.66894683,-79.0026899
Cold Stone Creamery,(919) 858-7754,Ice Cream Parlors,325 Crossroads Blvd Cary NC 27518,https://www.coldstonecreamery.com,35.75904956,-78.73407997
Cold Stone Creamery,(704) 341-0100,Ice Cream Parlors,9820 Rea Rd # B Charlotte NC 28277,https://www.coldstonecreamery.com,35.0345535,-80.80503472
Cold Stone Creamery,(336) 292-0321,Ice Cream Parlors,1626 Highwoods Blvd Greensboro NC 27410,https://www.coldstonecreamery.com,36.11326359,-79.87844247
Cold Stone Creamery,(919) 629-4031,Ice Cream Parlors,2050 Creekside Landing Dr Apex NC 27502,https://www.coldstonecreamery.com,35.74520254,-78.88461496
Cold Stone Creamery,(704) 583-3828,Ice Cream Parlors,14126 Rivergate Pkwy # 100 Charlotte NC 28273,https://www.coldstonecreamery.com,35.10369745,-80.985203
Cold Stone Creamery,(704) 636-0800,Ice Cream Parlors,343 Faith Rd # 12 Salisbury NC 28146,https://www.coldstonecreamery.com,35.65378489,-80.45825295
Cold Stone Creamery,(910) 920-1040,Ice Cream Parlors,3571 Butner Rd # 8-5476-C Fort Liberty NC 28307,https://www.coldstonecreamery.com,35.87197097,-79.55771808
Cold Stone Creamery,(704) 979-5061,Ice Cream Parlors,8111 Concord Mls Blvd # 743 Concord NC 28027,https://www.coldstonecreamery.com,35.37079546,-80.71721201
Cold Stone Creamery,(336) 882-2653,Ice Cream Parlors,3875 John Gordon Ln # 102 High Point NC 27265,https://www.coldstonecreamery.com,36.03543934,-79.96240141
Cold Stone Creamery,(919) 914-6193,Ice Cream Parlors,131 E Franklin St Chapel Hill NC 27514,https://www.coldstonecreamery.com,35.9136048,-79.0547542
Cold Stone Creamery,(252) 439-2653,Ice Cream Parlors,518 Greenville Blvd SE # G Greenville NC 27858,https://www.coldstonecreamery.com,35.58251216,-77.37438169
Cold Stone Creamery,(704) 799-6022,Ice Cream Parlors,688 Bluefield Rd # E Mooresville NC 28117,https://www.coldstonecreamery.com,35.59525025,-80.86875371
Cold Stone Creamery,(910) 256-5226,Ice Cream Parlors,951 International Dr Wilmington NC 28405,https://www.coldstonecreamery.com,34.24312767,-77.82858323
Cold Stone Creamery,(910) 989-2653,Ice Cream Parlors,Western Blvd 1250 # L3 Jacksonville NC 28546,https://www.coldstonecreamery.com,34.78213399,-77.39721099
